project,page_name,redirect_name,date,views
hu.wikipedia,Majomhimlő,NA,2022-05-24,112
hu.wikipedia,Majomhimlő,NA,2022-05-25,896
hu.wikipedia,Majomhimlő,NA,2022-05-26,366
hu.wikipedia,Majomhimlő,NA,2022-05-27,623
hu.wikipedia,Majomhimlő,NA,2022-05-28,799
hu.wikipedia,Majomhimlő,NA,2022-05-29,674
hu.wikipedia,Majomhimlő,NA,2022-05-30,440
hu.wikipedia,Majomhimlő,NA,2022-05-31,2314
hu.wikipedia,Majomhimlő,NA,2022-06-01,1745
hu.wikipedia,Majomhimlő,NA,2022-06-02,895
hu.wikipedia,Majomhimlő,NA,2022-06-03,457
hu.wikipedia,Majomhimlő,NA,2022-06-04,409
hu.wikipedia,Majomhimlő,NA,2022-06-05,558
hu.wikipedia,Majomhimlő,NA,2022-06-06,521
hu.wikipedia,Majomhimlő,NA,2022-06-07,605
hu.wikipedia,Majomhimlő,NA,2022-06-08,526
hu.wikipedia,Majomhimlő,NA,2022-06-09,450
hu.wikipedia,Majomhimlő,NA,2022-06-10,369
hu.wikipedia,Majomhimlő,NA,2022-06-11,217
hu.wikipedia,Majomhimlő,NA,2022-06-12,208
hu.wikipedia,Majomhimlő,NA,2022-06-13,235
hu.wikipedia,Majomhimlő,NA,2022-06-14,281
hu.wikipedia,Majomhimlő,NA,2022-06-15,305
hu.wikipedia,Majomhimlő,NA,2022-06-16,459
hu.wikipedia,Majomhimlő,NA,2022-06-17,425
hu.wikipedia,Majomhimlő,NA,2022-06-18,294
hu.wikipedia,Majomhimlő,NA,2022-06-19,345
hu.wikipedia,Majomhimlő,NA,2022-06-20,244
hu.wikipedia,Majomhimlő,NA,2022-06-21,239
hu.wikipedia,Majomhimlő,NA,2022-06-22,348
hu.wikipedia,Majomhimlő,NA,2022-06-23,191
hu.wikipedia,Majomhimlő,NA,2022-06-24,296
hu.wikipedia,Majomhimlő,NA,2022-06-25,176
hu.wikipedia,Majomhimlő,NA,2022-06-26,181
hu.wikipedia,Majomhimlő,NA,2022-06-27,151
hu.wikipedia,Majomhimlő,NA,2022-06-28,143
hu.wikipedia,Majomhimlő,NA,2022-06-29,121
hu.wikipedia,Majomhimlő,NA,2022-06-30,262
hu.wikipedia,Majomhimlő,NA,2022-07-01,171
hu.wikipedia,Majomhimlő,Monkeypox,2022-07-01,5
hu.wikipedia,Majomhimlő,NA,2022-07-02,132
hu.wikipedia,Majomhimlő,Monkeypox,2022-07-02,2
hu.wikipedia,Majomhimlő,NA,2022-07-03,118
hu.wikipedia,Majomhimlő,NA,2022-07-04,163
hu.wikipedia,Majomhimlő,Monkeypox,2022-07-04,2
hu.wikipedia,Majomhimlő,NA,2022-07-05,202
hu.wikipedia,Majomhimlő,Monkeypox,2022-07-05,0
hu.wikipedia,Majomhimlő,NA,2022-07-06,157
hu.wikipedia,Majomhimlő,Monkeypox,2022-07-06,1
hu.wikipedia,Majomhimlő,NA,2022-07-07,166
hu.wikipedia,Majomhimlő,Monkeypox,2022-07-07,1
hu.wikipedia,Majomhimlő,NA,2022-07-08,195
hu.wikipedia,Majomhimlő,NA,2022-07-09,214
hu.wikipedia,Majomhimlő,Monkeypox,2022-07-09,1
hu.wikipedia,Majomhimlő,NA,2022-07-10,206
hu.wikipedia,Majomhimlő,NA,2022-07-11,143
hu.wikipedia,Majomhimlő,NA,2022-07-12,133
hu.wikipedia,Majomhimlő,Monkeypox,2022-07-12,0
hu.wikipedia,Majomhimlő,NA,2022-07-13,180
hu.wikipedia,Majomhimlő,Monkeypox,2022-07-13,0
hu.wikipedia,Majomhimlő,NA,2022-07-14,153
hu.wikipedia,Majomhimlő,NA,2022-07-15,187
hu.wikipedia,Majomhimlő,NA,2022-07-16,193
hu.wikipedia,Majomhimlő,NA,2022-07-17,123
hu.wikipedia,Majomhimlő,NA,2022-07-18,131
hu.wikipedia,Majomhimlő,NA,2022-07-19,146
hu.wikipedia,Majomhimlő,NA,2022-07-20,97
hu.wikipedia,Majomhimlő,NA,2022-07-21,129
hu.wikipedia,Majomhimlő,NA,2022-07-22,146
hu.wikipedia,Majomhimlő,NA,2022-07-23,587
hu.wikipedia,Majomhimlő,NA,2022-07-24,647
hu.wikipedia,Majomhimlő,NA,2022-07-25,429
hu.wikipedia,Majomhimlő,NA,2022-07-26,415
hu.wikipedia,Majomhimlő,NA,2022-07-27,331
hu.wikipedia,Majomhimlő,NA,2022-07-28,361
hu.wikipedia,Majomhimlő,NA,2022-07-29,286
hu.wikipedia,Majomhimlő,NA,2022-07-30,354
hu.wikipedia,Majomhimlő,NA,2022-07-31,678
hu.wikipedia,Majomhimlő,NA,2022-08-01,492
hu.wikipedia,Majomhimlő,NA,2022-08-02,402
hu.wikipedia,Majomhimlő,NA,2022-08-03,344
hu.wikipedia,Majomhimlő,NA,2022-08-04,482
hu.wikipedia,Majomhimlő,NA,2022-08-05,806
hu.wikipedia,Majomhimlő,NA,2022-08-06,474
hu.wikipedia,Majomhimlő,NA,2022-08-07,377
hu.wikipedia,Majomhimlő,Monkeypox,2022-08-07,0
hu.wikipedia,Majomhimlő,NA,2022-08-08,332
hu.wikipedia,Majomhimlő,NA,2022-08-09,287
hu.wikipedia,Majomhimlő,NA,2022-08-10,215
